year,month,day,p,pet,q,max_temp,min_temp
1948,12,20,0,0.817,8.7465,16.9167,1.3889
1948,12,21,0.01,0.812,3.4609,22.2278,5.0778
1948,12,22,1.11,0.807,1.7336,25.9056,12.3111
1948,12,23,0.12,0.804,1.29,23.5278,8.1056
1948,12,24,0.29,0.801,1.0571,21.8222,10.8278
1948,12,25,11.73,0.798,1.6486,21.5667,3.4278
1948,12,26,0,0.796,2.8473,7.5722,-1.8833
1948,12,27,5.86,0.795,1.7336,11.7778,1.1444
1948,12,28,6.3,0.794,1.0823,16.9611,4.1944
1948,12,29,8.75,0.794,2.5359,18.6611,6.6056
1948,12,30,0,0.795,3.8384,10.3556,-0.6111
1948,12,31,0,0.796,2.9575,10.7333,-3.9333
1949,1,1,0.05,0.79,1.4504,14.0167,-3.2444
1949,1,2,0.1,0.801,1.0068,18.5167,1.7889
1949,1,3,1.35,0.804,0.8243,22.2722,13.1556
1949,1,4,9.41,0.808,0.7645,23.8,16.0611
1949,1,5,4.99,0.812,3.2406,19.2778,11.0667
1949,1,6,0,0.818,7.1734,13.5056,3.4833
1949,1,7,0,0.823,5.6632,16.4722,0.1444
1949,1,8,0,0.83,2.8379,21.4111,2.8389
1949,1,9,0,0.837,1.4504,23.3667,8.1056
1949,1,10,0,0.844,1.0068,25.5778,10.1833
1949,1,11,0,0.852,0.8243,25.0722,9.9333
1949,1,12,0,0.861,0.7048,23.8833,9.0944
1949,1,13,0,0.871,0.6292,21.7444,9.1389
1949,1,14,0,0.881,0.5758,23.3222,8.7389
1949,1,15,2.58,0.891,0.5412,24.6944,9.9722
1949,1,16,12.82,0.903,0.5223,25.1722,14.2
1949,1,17,10.51,0.915,0.6104,22.1056,7.9778
1949,1,18,4.57,0.927,1.3403,21.5222,7.9778
1949,1,19,0.01,0.94,2.8316,15.8889,0.3278
1949,1,20,3.3,0.954,2.5799,12.15,-0.2167
1949,1,21,8.17,0.968,1.3969,15.2944,5.2
1949,1,22,1.36,0.983,1.1075,20.6778,11.0667
1949,1,23,1.14,0.998,2.3125,25.4,15.5
1949,1,24,4.62,1.014,1.8468,25.4056,17.0333
1949,1,25,0.22,1.031,1.2365,25.5111,16.9167
1949,1,26,2.28,1.048,1.0068,25.5167,17.1556
1949,1,27,3.86,1.065,0.8054,24.6944,14.9278
1949,1,28,0.79,1.084,1.032,19.7778,3.3222
1949,1,29,1.36,1.102,1.1075,11.9278,-1.0944
1949,1,30,14.27,1.122,1.1075,2.7889,-4.8444
1949,1,31,1.8,1.142,2.6428,0.3611,-6
1949,2,1,8.36,1.162,3.2092,3.2722,-5.65
1949,2,2,0.13,1.183,3.4923,11.9722,-2.8556
1949,2,3,7.97,1.204,2.8945,17.7389,1.8056
1949,2,4,7.71,1.226,2.2653,18.3056,8.9722
1949,2,5,1.02,1.249,2.8945,13.8611,6.2944
1949,2,6,0.01,1.272,2.7687,16.6111,7.8056
1949,2,7,9.28,1.295,1.8468,17.5556,7.5833
1949,2,8,22.66,1.319,1.5385,18.7889,8.5444
1949,2,9,3.32,1.343,7.2049,22.75,13.4944
1949,2,10,0.16,1.368,10.5084,21.7722,8.1556
1949,2,11,0.1,1.394,8.369,18.55,1.1
1949,2,12,0,1.419,3.8069,22.1556,4.7667
1949,2,13,0,1.446,1.9035,25.9667,13.4722
1949,2,14,0.61,1.472,1.2365,27.2778,18.2333
1949,2,15,32.55,1.5,1.0068,26.45,15.65
1949,2,16,16.37,1.527,7.5824,21.4278,11.9889
1949,2,17,4.26,1.555,14.2839,17.9556,7.5389
1949,2,18,7.7,1.583,16.5806,16.3111,8.9111
1949,2,19,2.38,1.612,10.005,19.7389,11.2889
1949,2,20,0.02,1.641,5.3486,21.1944,10.6444
1949,2,21,1.41,1.671,2.9197,21.4167,12.4111
1949,2,22,0,1.701,1.6644,22.2944,13.5722
1949,2,23,3.82,1.731,1.2082,21.8944,12.2556
1949,2,24,8.29,1.762,1.0792,21.2556,11.7556
1949,2,25,0,1.793,2.2338,22.4778,13.0222
1949,2,26,1.58,1.824,2.9449,20.1333,10.7333
1949,2,27,0.11,1.856,1.6644,18.8167,10.7444
1949,2,28,0.14,1.888,1.0792,16.0056,4.1111
1949,3,1,0.35,1.92,0.8526,13.7722,2.8333
1949,3,2,1.69,1.953,0.667,12.9389,4.1167
1949,3,3,0,1.986,0.5789,17.6833,2.1333
1949,3,4,0,2.019,0.516,21.5667,1.7778
1949,3,5,1.9,2.052,0.4688,24.2111,3.4333
1949,3,6,2.08,2.086,0.4342,25.5833,8.7333
1949,3,7,0,2.12,0.4342,21.4389,5.4667
1949,3,8,2.98,2.154,0.4656,21.0333,5.3667
1949,3,9,14.82,2.189,0.409,22.6333,8.6056
1949,3,10,0,2.223,3.3035,19.0889,3.3222
1949,3,11,0,2.258,3.8069,19.6833,1.7278
1949,3,12,0.78,2.293,1.9129,21.4056,3.7667
1949,3,13,27.68,2.329,0.8778,22.15,10.5722
1949,3,14,16.26,2.364,4.8137,19.1389,11.9833
1949,3,15,0,2.4,9.2814,17.5333,4.9611
1949,3,16,0,2.435,6.6385,19.6611,3.6778
1949,3,17,0,2.471,2.7939,24.2722,9.0889
1949,3,18,3.32,2.507,1.3088,21.4111,7.6944
1949,3,19,0,2.544,0.903,16.4222,0.2611
1949,3,20,28.02,2.58,0.7803,20.8722,2.85
1949,3,21,54.67,2.616,3.0487,22.5833,11.2556
1949,3,22,0.01,2.653,15.039,23.6556,12.0833
1949,3,23,0,2.69,27.8441,25.0222,8.4278
1949,3,24,0,2.726,26.0193,26.0278,11.5778
1949,3,25,0.04,2.763,8.306,27.2833,17.5389
1949,3,26,1.14,2.8,2.9323,28.5611,19.7444
1949,3,27,41.59,2.837,1.6644,24.0556,12.7722
1949,3,28,8.27,2.874,7.3622,21.4611,11.5611
1949,3,29,19.64,2.911,10.6343,21.5167,13.2444
1949,3,30,41.71,2.947,13.0568,26.0167,16.4944
1949,3,31,0.18,2.984,12.522,26.2667,14.0611
1949,4,1,4.61,3.021,15.9514,21.0722,10.8222
1949,4,2,0.4,3.058,18.5942,20.5611,11.4667
1949,4,3,1.66,3.095,9.0926,19.0611,10.7222
